sep=,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
0, 3709277847, 0.4583245515823364, -0.45078861713409424, -0.16691924631595612, -0.7475630640983582, 0, 0, 0, 0, 0, 0, -0.822021484375, 0.027099609375, -0.314208984375, 
1, 3709286180, 0.4582940340042114, -0.4507195055484772, -0.1669950783252716, -0.747606635093689, 8.30770492553711, -1.6702102422714233, 5.285393238067627, 0.48195740580558777, 0.7263427972793579, -1.2889978885650635, -0.8212890625, 0.024169921875, -0.313232421875, 
2, 3709294513, 0.45824527740478516, -0.4506738781929016, -0.16706620156764984, -0.7476480603218079, 8.265324592590332, -1.643837809562683, 5.338924884796143, 0.20650194585323334, 0.4525010585784912, -1.4222431182861328, -0.8212890625, 0.022216796875, -0.3134765625, 
3, 3709302846, 0.45818009972572327, -0.4506581425666809, -0.16714254021644592, -0.7476804852485657, 8.21667766571045, -1.6051480770111084, 5.336285591125488, -0.03886960446834564, 0.0256910789757967, -1.455695390701294, -0.81982421875, 0.023681640625, -0.314453125, 
4, 3709311179, 0.4581024944782257, -0.45067253708839417, -0.1671878546476364, -0.7477092742919922, 8.172202110290527, -1.5703494548797607, 5.354997158050537, -0.5889096260070801, -0.1454504281282425, -1.3413021564483643, -0.820556640625, 0.027099609375, -0.313720703125, 
5, 3709319512, 0.45800167322158813, -0.4506920576095581, -0.16720731556415558, -0.7477548718452454, 8.132570266723633, -1.5236672163009644, 5.3303728103637695, -1.0946882963180542, 0.020158400759100914, -1.4709869623184204, -0.82080078125, 0.026123046875, -0.314697265625, 
6, 3709327845, 0.45790499448776245, -0.45067691802978516, -0.16721148788928986, -0.7478222846984863, 8.10557746887207, -1.510870099067688, 5.336528778076172, -1.0332396030426025, 0.6126156449317932, -1.5930132865905762, -0.8203125, 0.024169921875, -0.313232421875, 
7, 3709336178, 0.4578028917312622, -0.4506387710571289, -0.16719630360603333, -0.7479112148284912, 8.07861042022705, -1.5352704524993896, 5.340633869171143, -1.196786642074585, 1.0969808101654053, -1.6753886938095093, -0.82177734375, 0.023193359375, -0.314697265625, 
8, 3709344511, 0.4577109217643738, -0.45057234168052673, -0.16718916594982147, -0.7480091452598572, 8.088152885437012, -1.5291796922683716, 5.345172882080078, -0.8667344450950623, 1.4118181467056274, -1.7839291095733643, -0.82080078125, 0.021728515625, -0.314453125, 
9, 3709352844, 0.45764580368995667, -0.4504798650741577, -0.16719922423362732, -0.7481024861335754, 8.085368156433105, -1.5724281072616577, 5.347553253173828, -0.37560713291168213, 1.609252691268921, -1.6034255027770996, -0.822265625, 0.0224609375, -0.317138671875, 
