sep=,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
0, 3253554410, -0.7487892508506775, 0.2989254295825958, 0.27272820472717285, 0.524955153465271, 0, 0, 0, 0, 0, 0, -0.716064453125, 0.27978515625, -0.401611328125, 
1, 3253562743, -0.7486324906349182, 0.29905930161476135, 0.2727072238922119, 0.5251133441925049, 7.107949256896973, -1.4353728294372559, 6.543725490570068, -2.8796286582946777, -1.2317116260528564, -2.2865824699401855, -0.714599609375, 0.282470703125, -0.402099609375, 
2, 3253571076, -0.7484654784202576, 0.2992071211338043, 0.2726919949054718, 0.5252751708030701, 7.0963592529296875, -1.4555058479309082, 6.558770656585693, -3.010594606399536, -1.4128812551498413, -2.405637741088867, -0.714599609375, 0.279541015625, -0.398681640625, 
3, 3253579409, -0.7482859492301941, 0.2993696331977844, 0.2726975083351135, 0.5254356861114502, 7.096580505371094, -1.5072288513183594, 6.555827617645264, -3.0829296112060547, -1.7907936573028564, -2.471825122833252, -0.714111328125, 0.281982421875, -0.402099609375, 
4, 3253587742, -0.7480883598327637, 0.2995516359806061, 0.27272048592567444, 0.5256012678146362, 7.083673000335693, -1.5115898847579956, 6.591361045837402, -3.225088596343994, -2.15139102935791, -2.6967179775238037, -0.718017578125, 0.282958984375, -0.3974609375, 
5, 3253596075, -0.7478813529014587, 0.299747496843338, 0.27276843786239624, 0.5257590413093567, 7.099506378173828, -1.538427710533142, 6.620896816253662, -3.2361538410186768, -2.5790717601776123, -2.7011494636535645, -0.717041015625, 0.281494140625, -0.399658203125, 
6, 3253604408, -0.7476693391799927, 0.299960196018219, 0.2728235423564911, 0.5259107351303101, 7.12006950378418, -1.5551403760910034, 6.6383185386657715, -3.3163516521453857, -2.8148505687713623, -2.6742539405822754, -0.715576171875, 0.27880859375, -0.398193359375, 
7, 3253612741, -0.7474513053894043, 0.30016061663627625, 0.27290022373199463, 0.5260666608810425, 7.0705885887146, -1.5980455875396729, 6.680088043212891, -3.0773324966430664, -2.966295003890991, -2.8301806449890137, -0.715087890625, 0.281982421875, -0.399169921875, 
8, 3253621074, -0.747220516204834, 0.3003547787666321, 0.2729872763156891, 0.5262386202812195, 7.083799839019775, -1.630119800567627, 6.702621936798096, -3.047325611114502, -2.996763229370117, -3.220452308654785, -0.718017578125, 0.2802734375, -0.39990234375, 
9, 3253629407, -0.7469882965087891, 0.30053654313087463, 0.2730922996997833, 0.526409924030304, 7.08870792388916, -1.6467158794403076, 6.718698501586914, -2.827427625656128, -3.105008840560913, -3.3081812858581543, -0.719482421875, 0.280517578125, -0.39697265625, 
10, 3253637740, -0.7467634677886963, 0.30070579051971436, 0.2731807827949524, 0.5265864133834839, 7.099628925323486, -1.6827560663223267, 6.735901832580566, -2.7732532024383545, -2.7889034748077393, -3.3228065967559814, -0.714599609375, 0.282470703125, -0.398193359375, 
11, 3253646073, -0.7465645670890808, 0.30085432529449463, 0.2732492685317993, 0.5267478823661804, 7.157293319702148, -1.6379120349884033, 6.729933261871338, -2.5696969032287598, -2.4067647457122803, -2.934187412261963, -0.718505859375, 0.27978515625, -0.3984375, 
