sep=,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
0, 2927200798, 0.39080363512039185, -0.7976096868515015, 0.45630931854248047, 0.053740955889225006, 0, 0, 0, 0, 0, 0, 0.2265625, 0.800048828125, 0.491455078125, 
1, 2927209131, 0.39086291193962097, -0.7975820302963257, 0.456304669380188, 0.05375749617815018, -4.517341613769531, -5.653621196746826, -6.926533222198486, 0.24694682657718658, -1.3026758432388306, -0.00016649252211209387, 0.228515625, 0.801513671875, 0.49072265625, 
2, 2927217464, 0.3909212052822113, -0.7975538372993469, 0.45630210638046265, 0.05377430468797684, -4.537341594696045, -5.677804946899414, -6.896756649017334, 0.19151760637760162, -1.2865900993347168, 0.06744226813316345, 0.2275390625, 0.801025390625, 0.490966796875, 
3, 2927225797, 0.3909604549407959, -0.7975248098373413, 0.4563156068325043, 0.05380522459745407, -4.5567474365234375, -5.695923328399658, -6.909381866455078, -0.042148225009441376, -1.2375645637512207, 0.30194059014320374, 0.228515625, 0.801513671875, 0.48974609375, 
4, 2927234130, 0.39099231362342834, -0.7974916696548462, 0.45634323358535767, 0.053830765187740326, -4.540302276611328, -5.698948383331299, -6.92311429977417, -0.10416027903556824, -1.058546781539917, 0.4964294731616974, 0.22705078125, 0.800537109375, 0.491943359375, 
5, 2927242463, 0.39101913571357727, -0.7974593639373779, 0.4563741683959961, 0.053851962089538574, -4.483530521392822, -5.735642910003662, -6.890212059020996, -0.08766471594572067, -0.9622628092765808, 0.46815136075019836, 0.22900390625, 0.80078125, 0.4892578125, 
6, 2927250796, 0.39104247093200684, -0.7974233627319336, 0.45641493797302246, 0.05387110263109207, -4.442516326904297, -5.718655109405518, -6.8648481369018555, -0.131541907787323, -0.865312933921814, 0.6288551092147827, 0.22607421875, 0.801513671875, 0.491455078125, 
7, 2927259129, 0.3910703659057617, -0.7973787784576416, 0.45646655559539795, 0.053890831768512726, -4.397582054138184, -5.7171101570129395, -6.8312153816223145, 0.014472042210400105, -0.8506102561950684, 0.7643542885780334, 0.2294921875, 0.799560546875, 0.4921875, 
8, 2927267462, 0.39110231399536133, -0.7973259687423706, 0.45652878284454346, 0.05391266942024231, -4.382246494293213, -5.713740825653076, -6.852802753448486, 0.05081864446401596, -0.8459485173225403, 0.9801031351089478, 0.22900390625, 0.80224609375, 0.4912109375, 
9, 2927275795, 0.39115476608276367, -0.7972741723060608, 0.4565731883049011, 0.053923241794109344, -4.377468585968018, -5.702919006347656, -6.833432674407959, 0.37560713291168213, -0.9482773542404175, 0.6632806062698364, 0.228515625, 0.801025390625, 0.49072265625, 
10, 2927284128, 0.3912234306335449, -0.7972174882888794, 0.4566117823123932, 0.05393461138010025, -4.364199638366699, -5.6588287353515625, -6.883566856384277, 0.5230682492256165, -1.0909231901168823, 0.661154568195343, 0.22705078125, 0.800537109375, 0.491943359375, 
11, 2927292461, 0.3912840485572815, -0.7971646785736084, 0.45665112137794495, 0.053943924605846405, -4.349700927734375, -5.585197448730469, -6.8679094314575195, 0.47337672114372253, -1.0130815505981445, 0.6007562875747681, 0.22705078125, 0.800048828125, 0.490966796875, 
12, 2927300794, 0.3913253843784332, -0.797126054763794, 0.4566843509674072, 0.053933486342430115, -4.406101226806641, -5.572494029998779, -6.839663028717041, 0.2593953609466553, -0.6974884271621704, 0.3911549746990204, 0.2275390625, 0.799560546875, 0.492431640625, 
13, 2927309127, 0.3913532793521881, -0.7970954179763794, 0.4567146599292755, 0.05392785370349884, -4.415099620819092, -5.549883842468262, -6.885562896728516, 0.08514171093702316, -0.6764335036277771, 0.3092150092124939, 0.22705078125, 0.799072265625, 0.491455078125, 
14, 2927317460, 0.3913704752922058, -0.7970762848854065, 0.45673561096191406, 0.05390956252813339, -4.44003438949585, -5.585912704467773, -6.898852825164795, -0.07093861699104309, -0.5121694207191467, 0.10773346573114395, 0.228515625, 0.801025390625, 0.490234375, 
15, 2927325793, 0.3913763761520386, -0.797067403793335, 0.45674917101860046, 0.053879544138908386, -4.436314582824707, -5.551242828369141, -6.875706195831299, -0.13325805962085724, -0.344191312789917, -0.12839137017726898, 0.22900390625, 0.799560546875, 0.490966796875, 
16, 2927334126, 0.3913577198982239, -0.797080397605896, 0.4567480683326721, 0.05383429676294327, -4.407939434051514, -5.517281532287598, -6.862530708312988, -0.48227763175964355, -0.08538505434989929, -0.4516430199146271, 0.228515625, 0.797119140625, 0.490966796875, 
17, 2927342459, 0.3913349211215973, -0.797102153301239, 0.4567345976829529, 0.05379043519496918, -4.383026123046875, -5.554676055908203, -6.877065181732178, -0.5455960035324097, -0.13651105761528015, -0.6706959009170532, 0.22802734375, 0.799072265625, 0.489013671875, 
18, 2927350792, 0.39131268858909607, -0.7971264123916626, 0.45671916007995605, 0.053722940385341644, -4.3738274574279785, -5.624874114990234, -6.863832473754883, -0.4539226293563843, 0.11216472834348679, -0.7973583340644836, 0.2265625, 0.798583984375, 0.493408203125, 
19, 2927359125, 0.3912964463233948, -0.7971474528312683, 0.4567057192325592, 0.05364469438791275, -4.387918472290039, -5.596134185791016, -6.8625664710998535, -0.2531070411205292, 0.19738328456878662, -0.8558355569839478, 0.2275390625, 0.799560546875, 0.491455078125, 
20, 2927367458, 0.3912797272205353, -0.7971662878990173, 0.4566965103149414, 0.053563982248306274, -4.413425922393799, -5.562258243560791, -6.840170860290527, -0.2771332263946533, 0.2524282932281494, -0.7704120874404907, 0.22900390625, 0.798583984375, 0.490478515625, 
21, 2927375791, 0.3912478983402252, -0.7971950769424438, 0.45668259263038635, 0.05348747968673706, -4.493215560913086, -5.590747833251953, -6.832581520080566, -0.4768216907978058, 0.2811930477619171, -0.8886986374855042, 0.2275390625, 0.798583984375, 0.489501953125, 
22, 2927384124, 0.39123067259788513, -0.7972161769866943, 0.4566691517829895, 0.05341324210166931, -4.563506603240967, -5.605010509490967, -6.808977127075195, -0.3371473550796509, 0.16236864030361176, -0.7945919632911682, 0.23095703125, 0.7998046875, 0.4912109375, 
23, 2927392457, 0.39121559262275696, -0.79722660779953, 0.4566735625267029, 0.05332936346530914, -4.58294153213501, -5.694507598876953, -6.81168794631958, -0.13597317039966583, 0.3432563245296478, -0.6252050399780273, 0.2275390625, 0.800537109375, 0.4921875, 
24, 2927400790, 0.39120230078697205, -0.7972292900085449, 0.4566911458969116, 0.05323570966720581, -4.572211742401123, -5.692182540893555, -6.80344820022583, -0.05083145201206207, 0.5052664279937744, -0.44598227739334106, 0.2275390625, 0.801513671875, 0.489501953125, 
25, 2927409123, 0.3911900222301483, -0.797232985496521, 0.4567073583602905, 0.053131021559238434, -4.509374141693115, -5.6798224449157715, -6.882479667663574, 0.07161740213632584, 0.6118728518486023, -0.5672913193702698, 0.172119140625, 0.80322265625, 0.49169921875, 
26, 2927417456, 0.3911879062652588, -0.7972400188446045, 0.4567108750343323, 0.053013257682323456, -4.478365898132324, -5.805870056152344, -6.9258904457092285, 0.18872568011283875, 0.6257045269012451, -0.7678250670433044, 0.17333984375, 0.8017578125, 0.49072265625, 
27, 2927425789, 0.39118725061416626, -0.7972471117973328, 0.4567112326622009, 0.05290742963552475, -4.398319244384766, -5.706538200378418, -6.925997734069824, 0.1766357570886612, 0.4695602059364319, -0.7774049043655396, 0.1728515625, 0.8017578125, 0.49169921875, 
28, 2927434122, 0.391191303730011, -0.7972527742385864, 0.45670926570892334, 0.052809588611125946, -4.355430603027344, -5.790376663208008, -6.968764305114746, 0.13493578135967255, 0.33869701623916626, -0.7139327526092529, 0.17138671875, 0.7998046875, 0.4931640625, 
29, 2927442455, 0.3912056088447571, -0.797257661819458, 0.45669883489608765, 0.05272027105093002, -4.305661201477051, -5.758760929107666, -6.960159778594971, 0.240261510014534, 0.13334770500659943, -0.8044791221618652, 0.172119140625, 0.8037109375, 0.4921875, 
30, 2927450788, 0.39121419191360474, -0.7972612380981445, 0.45669427514076233, 0.052640244364738464, -4.319523334503174, -5.6905012130737305, -6.950939655303955, 0.0820423886179924, 0.1002541109919548, -0.6357068419456482, 0.172119140625, 0.80224609375, 0.49169921875, 
31, 2927459121, 0.39122527837753296, -0.7972646951675415, 0.4566860496997833, 0.05257771164178848, -4.359578609466553, -5.7165656089782715, -6.9651594161987305, 0.04515789449214935, -0.1273667812347412, -0.6242573261260986, 0.17333984375, 0.80224609375, 0.4912109375, 
32, 2927467454, 0.39122211933135986, -0.7972742915153503, 0.456678569316864, 0.05252101272344589, -4.394620895385742, -5.630402565002441, -6.9386372566223145, -0.22733913362026215, -0.09565635025501251, -0.5739765763282776, 0.1728515625, 0.802734375, 0.4931640625, 
33, 2927475787, 0.3911535143852234, -0.7972947359085083, 0.4567047357559204, 0.05249388515949249, -4.433374881744385, -5.587751388549805, -6.893946647644043, -1.1153334379196167, 0.18011930584907532, -0.10615818947553635, 0.173583984375, 0.8037109375, 0.492431640625, 
34, 2927484120, 0.3910738229751587, -0.7973159551620483, 0.4567388594150543, 0.05246856063604355, -4.481334686279297, -5.616584777832031, -6.916406631469727, -1.2973480224609375, 0.27496880292892456, 0.033605873584747314, 0.172607421875, 0.80322265625, 0.490234375, 
35, 2927492453, 0.39099255204200745, -0.7973474264144897, 0.45675671100616455, 0.05244193226099014, -4.442137241363525, -5.5854411125183105, -6.936713695526123, -1.3231929540634155, 0.21697817742824554, -0.25433653593063354, 0.174072265625, 0.803466796875, 0.490234375, 
36, 2927500786, 0.3909313380718231, -0.797370195388794, 0.4567715525627136, 0.052422113716602325, -4.448331356048584, -5.633091926574707, -6.913493633270264, -1.1506553888320923, -0.0041366987861692905, -0.17116710543632507, 0.17236328125, 0.80224609375, 0.4912109375, 
37, 2927509119, 0.39087390899658203, -0.7974013686180115, 0.4567696154117584, 0.05239293724298477, -4.465605735778809, -5.639744758605957, -6.909274578094482, -1.0582393407821655, -0.0104378005489707, -0.5002331733703613, 0.171142578125, 0.8037109375, 0.49072265625, 
38, 2927517452, 0.39082029461860657, -0.7974332571029663, 0.45676225423812866, 0.052371762692928314, -4.428310871124268, -5.673727989196777, -6.882944583892822, -1.122889518737793, -0.15044520795345306, -0.4850183129310608, 0.1728515625, 0.80224609375, 0.48974609375, 
