sep=,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
0, 3433413882, 0.8779938220977783, -0.04442451894283295, -0.45842641592025757, -0.13047096133232117, 0, 0, 0, 0, 0, 0, -0.896728515625, 0.153564453125, -0.2177734375, 
1, 3433422215, 0.8779314756393433, -0.04459036886692047, -0.45846524834632874, -0.13069766759872437, 8.122138023376465, 0.5292143821716309, 5.826108455657959, -3.759798526763916, -1.539505124092102, -1.7397574186325073, -0.897705078125, 0.15478515625, -0.21533203125, 
2, 3433430548, 0.8779215216636658, -0.04461844265460968, -0.4584241211414337, -0.13089832663536072, 8.102397918701172, 0.5016198754310608, 5.6565842628479, -1.8656256198883057, 0.002305281115695834, -2.03816294670105, -0.89697265625, 0.151123046875, -0.2138671875, 
3, 3433438881, 0.877962589263916, -0.04446430504322052, -0.45831814408302307, -0.1310473084449768, 8.076990127563477, 0.5236127376556396, 5.549481391906738, 0.5410494208335876, 1.3991262912750244, -2.444507122039795, -0.898193359375, 0.151123046875, -0.21630859375, 
4, 3433447214, 0.8778917789459229, -0.04444804787635803, -0.4583706259727478, -0.1313435137271881, 8.039202690124512, 0.5116031169891357, 5.709822177886963, -1.8006936311721802, -1.37501060962677, -3.6376442909240723, -0.89892578125, 0.150146484375, -0.21435546875, 
5, 3433455547, 0.877710223197937, -0.044564470648765564, -0.45860186219215393, -0.13170990347862244, 8.0637788772583, 0.4378169775009155, 5.75114107131958, -3.589975595474243, -4.426793098449707, -3.960639238357544, -0.896484375, 0.150634765625, -0.21630859375, 
6, 3433463880, 0.8776918053627014, -0.0444895476102829, -0.45855772495269775, -0.1320096254348755, 8.195340156555176, 0.4715816080570221, 5.570138931274414, -1.300088882446289, 0.2256101369857788, -3.913074016571045, -0.8955078125, 0.15087890625, -0.2138671875, 
7, 3433472213, 0.877805233001709, -0.04439082741737366, -0.458260715007782, -0.1323213279247284, 8.178112030029297, 0.5649074912071228, 5.5310163497924805, -1.5424251556396484, 4.155781269073486, -3.869145154953003, -0.89990234375, 0.148193359375, -0.2158203125, 
8, 3433480546, 0.8778693675994873, -0.04443769156932831, -0.4580225944519043, -0.13270390033721924, 8.02131175994873, 0.511489748954773, 5.5408477783203125, -3.5527329444885254, 2.921738862991333, -3.8606419563293457, -0.89794921875, 0.148193359375, -0.21630859375, 
9, 3433488879, 0.877865195274353, -0.044615283608436584, -0.45787933468818665, -0.13316553831100464, 8.030071258544922, 0.3975852429866791, 5.60996150970459, -5.533712387084961, 1.151641607284546, -4.19080924987793, -0.8994140625, 0.148193359375, -0.2177734375, 
10, 3433497212, 0.8778424263000488, -0.04481975734233856, -0.4577774405479431, -0.13359525799751282, 8.110877990722656, 0.35890287160873413, 5.7158203125, -5.557072162628174, 0.47178858518600464, -3.6788060665130615, -0.89697265625, 0.149169921875, -0.21533203125, 
11, 3433505545, 0.8779239654541016, -0.04486694931983948, -0.45753204822540283, -0.13388511538505554, 8.104247093200684, 0.4017762541770935, 5.663328170776367, -3.0640387535095215, 3.0543692111968994, -2.752697706222534, -0.8974609375, 0.146728515625, -0.21533203125, 
12, 3433513878, 0.8780445456504822, -0.04476387798786163, -0.4572431445121765, -0.13411584496498108, 7.966099739074707, 0.4253557026386261, 5.677459239959717, -0.8466401696205139, 4.0745849609375, -2.834458589553833, -0.900390625, 0.14599609375, -0.21533203125, 
13, 3433522211, 0.8780845999717712, -0.04469214379787445, -0.45709529519081116, -0.1343810260295868, 7.932385444641113, 0.3356722891330719, 5.661866188049316, -1.2242963314056396, 1.825526475906372, -3.272589683532715, -0.89990234375, 0.14697265625, -0.2177734375, 
14, 3433530544, 0.8780888319015503, -0.044592395424842834, -0.45702341198921204, -0.13463115692138672, 8.034454345703125, 0.29910174012184143, 5.609540939331055, -0.6796353459358215, 0.7278797626495361, -3.3948726654052734, -0.8994140625, 0.14697265625, -0.21875, 
15, 3433538877, 0.8781329393386841, -0.04440318048000336, -0.4569007158279419, -0.13482218980789185, 8.080068588256836, 0.3109128773212433, 5.643187046051025, 0.6294954419136047, 1.7149242162704468, -3.183119058609009, -0.9013671875, 0.146484375, -0.21923828125, 
