sep=,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
0, 3433322219, 0.5789521336555481, -0.6412138342857361, -0.1584164947271347, -0.4781016707420349, 0, 0, 0, 0, 0, 0, -0.8095703125, 0.3955078125, 0.10400390625, 
1, 3433330552, 0.5800576210021973, -0.6415714621543884, -0.1558918058872223, -0.47711074352264404, 7.843339443206787, -6.59410285949707, 1.8799378871917725, -8.028331756591797, 10.737310409545898, 38.05580139160156, -0.81005859375, 0.3974609375, 0.1044921875, 
2, 3433338885, 0.5812427997589111, -0.6418940424919128, -0.15326374769210815, -0.47608482837677, 7.8581342697143555, -6.718825340270996, 2.0068321228027344, -7.665942192077637, 11.657402038574219, 39.701087951660156, -0.80517578125, 0.40283203125, 0.102783203125, 
3, 3433347218, 0.5825156569480896, -0.6421850919723511, -0.15044383704662323, -0.47503507137298584, 7.867763519287109, -6.786282539367676, 1.977529525756836, -7.829029083251953, 13.367053985595703, 42.08744430541992, -0.804443359375, 0.409912109375, 0.10205078125, 
4, 3433355551, 0.5838815569877625, -0.642451822757721, -0.1473657637834549, -0.47396090626716614, 7.895496368408203, -6.865752220153809, 1.9342067241668701, -8.419288635253906, 15.535796165466309, 45.12811279296875, -0.8076171875, 0.412109375, 0.1064453125, 
5, 3433363884, 0.5853346586227417, -0.642724335193634, -0.1439596712589264, -0.472844660282135, 7.9677414894104, -7.039107799530029, 1.8630099296569824, -9.77615737915039, 17.972848892211914, 48.935462951660156, -0.79931640625, 0.41748046875, 0.097900390625, 
6, 3433372217, 0.5868363380432129, -0.6430358290672302, -0.14014571905136108, -0.4717041552066803, 8.000894546508789, -7.177153587341309, 1.6544315814971924, -12.095693588256836, 20.73011016845703, 53.15890884399414, -0.7958984375, 0.422119140625, 0.096923828125, 
7, 3433380550, 0.5884568095207214, -0.6433380246162415, -0.13601647317409515, -0.470480740070343, 7.95197868347168, -7.419346332550049, 1.4084570407867432, -13.024820327758789, 22.98329734802246, 57.33850860595703, -0.795654296875, 0.42919921875, 0.09619140625, 
8, 3433388883, 0.5902114510536194, -0.643608808517456, -0.13160789012908936, -0.46916434168815613, 7.835005760192871, -7.7093825340271, 1.427712082862854, -13.174735069274902, 24.82286834716797, 61.374576568603516, -0.79248046875, 0.4375, 0.093505859375, 
9, 3433397216, 0.5920935273170471, -0.643866240978241, -0.12697015702724457, -0.46771544218063354, 7.740834712982178, -7.860997200012207, 1.652240514755249, -13.220155715942383, 25.878910064697266, 65.27330017089844, -0.7861328125, 0.443603515625, 0.08984375, 
10, 3433405549, 0.5940558314323425, -0.6441318988800049, -0.12207181751728058, -0.46616291999816895, 7.694216251373291, -7.897542476654053, 1.960370659828186, -14.023324966430664, 27.110200881958008, 68.95182800292969, -0.786376953125, 0.451171875, 0.08935546875, 
11, 3433413882, 0.5960289835929871, -0.6444637775421143, -0.11687405407428741, -0.4645150601863861, 7.670783042907715, -7.946115016937256, 2.225614309310913, -16.27568244934082, 28.366090774536133, 72.5657958984375, -0.78125, 0.45703125, 0.084716796875, 
12, 3433422215, 0.597944974899292, -0.6448930501937866, -0.11135777831077576, -0.4628089666366577, 7.69276762008667, -7.944528579711914, 2.3203396797180176, -20.145410537719727, 30.28639030456543, 75.51705932617188, -0.776123046875, 0.46484375, 0.08349609375, 
13, 3433430548, 0.599724292755127, -0.6454329490661621, -0.10545051097869873, -0.461134672164917, 7.601354122161865, -7.765054702758789, 2.303407907485962, -24.180721282958984, 32.329261779785156, 78.16451263427734, -0.7724609375, 0.475830078125, 0.085205078125, 
