sep=,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
0, 3733085228, 0.8806681036949158, -0.03478321433067322, -0.45003199577331543, -0.14391544461250305, 0, 0, 0, 0, 0, 0, -0.897705078125, 0.136474609375, -0.219482421875, 
1, 3733093561, 0.880713701248169, -0.03482764959335327, -0.44988757371902466, -0.14407575130462646, 7.9004669189453125, 0.5799900889396667, 5.731228351593018, -2.164710521697998, 1.5589207410812378, -1.3738963603973389, -0.895263671875, 0.135009765625, -0.219482421875, 
2, 3733101894, 0.8807051181793213, -0.034890204668045044, -0.44983983039855957, -0.14426296949386597, 7.847586631774902, 0.5565760135650635, 5.767421722412109, -2.198559522628784, -0.007389706093817949, -1.664092779159546, -0.896240234375, 0.135009765625, -0.218505859375, 
3, 3733110227, 0.8806498646736145, -0.03492528200149536, -0.4498817026615143, -0.14446097612380981, 7.789424896240234, 0.5059632062911987, 5.816827774047852, -1.9442870616912842, -1.281954050064087, -2.1656711101531982, -0.896484375, 0.134033203125, -0.218505859375, 
4, 3733118560, 0.8805830478668213, -0.03490804135799408, -0.4499550461769104, -0.1446441411972046, 7.854533672332764, 0.4863013029098511, 5.835078239440918, -0.9937683343887329, -1.6790002584457397, -2.281677722930908, -0.896728515625, 0.134521484375, -0.219970703125, 
5, 3733126893, 0.8805254697799683, -0.03480854630470276, -0.4500298500061035, -0.14478498697280884, 7.936957359313965, 0.4647041857242584, 5.818655014038086, 0.08680663257837296, -1.4569504261016846, -2.338361978530884, -0.89794921875, 0.133544921875, -0.217529296875, 
6, 3733135226, 0.8804982900619507, -0.034654244780540466, -0.4500505030155182, -0.14492303133010864, 8.008166313171387, 0.4453509449958801, 5.787559986114502, 0.8590502142906189, -0.5435724258422852, -2.479470729827881, -0.897705078125, 0.135009765625, -0.218994140625, 
7, 3733143559, 0.8805239200592041, -0.03446240723133087, -0.44998040795326233, -0.1450311243534088, 8.100564002990723, 0.4391952157020569, 5.693876266479492, 1.158941626548767, 0.9804872274398804, -2.27911639213562, -0.892333984375, 0.159912109375, -0.21484375, 
8, 3733151892, 0.8806434273719788, -0.034167081117630005, -0.4497451186180115, -0.14510509371757507, 8.140965461730957, 0.561401903629303, 5.537194728851318, 2.522899627685547, 3.711989402770996, -2.162597179412842, -0.8974609375, 0.133544921875, -0.220947265625, 
9, 3733160225, 0.8807469606399536, -0.033897995948791504, -0.4495290517807007, -0.14520886540412903, 7.965085029602051, 0.6320491433143616, 5.711601257324219, 1.8855279684066772, 3.38577938079834, -2.468008518218994, -0.89501953125, 0.132080078125, -0.22265625, 
10, 3733168558, 0.8807883262634277, -0.0337500274181366, -0.44940710067749023, -0.1453705132007599, 7.951140403747559, 0.6199775338172913, 5.718368053436279, 0.38464897871017456, 1.6046806573867798, -2.52278470993042, -0.8984375, 0.133056640625, -0.218505859375, 
11, 3733176891, 0.880916953086853, -0.033521443605422974, -0.44914156198501587, -0.14546385407447815, 8.02949047088623, 0.6656384468078613, 5.571440696716309, 1.3709509372711182, 4.053452968597412, -2.021949529647827, -0.8974609375, 0.131591796875, -0.218505859375, 
12, 3733185224, 0.8810804486274719, -0.033328041434288025, -0.4487995505332947, -0.14557331800460815, 7.939872741699219, 0.7710812091827393, 5.66693639755249, 0.8747261762619019, 5.090624809265137, -1.825103998184204, -0.896484375, 0.12890625, -0.2197265625, 
