sep=,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
0, 3128609408, -0.8313771486282349, 0.1659160554409027, -0.1264193207025528, 0.51507568359375, 0, 0, 0, 0, 0, 0, -0.033203125, -0.16064453125, -0.56298828125, 
1, 3128617741, -0.8313902616500854, 0.1659066081047058, -0.12637437880039215, 0.5150684714317322, -0.28148582577705383, -4.04531192779541, 9.007818222045898, 0.33785173296928406, -0.9637483358383179, -0.059924498200416565, -0.0341796875, -0.16259765625, -0.5634765625, 
2, 3128626074, -0.831404983997345, 0.16589190065860748, -0.12633123993873596, 0.5150600075721741, -0.2879663109779358, -4.040562152862549, 8.998820304870605, 0.41069865226745605, -0.9766324162483215, -0.02529405802488327, -0.033203125, -0.1591796875, -0.5654296875, 
3, 3128634407, -0.8314198851585388, 0.16585800051689148, -0.12629461288452148, 0.5150559544563293, -0.3333584666252136, -4.008124351501465, 9.015522956848145, 0.5688409209251404, -0.6899833679199219, -0.027215125039219856, -0.033203125, -0.1630859375, -0.5634765625, 
4, 3128642740, -0.831432580947876, 0.16582441329956055, -0.12626424431800842, 0.5150536298751831, -0.32468900084495544, -3.9866943359375, 9.006295204162598, 0.5425863265991211, -0.6791742444038391, -0.04839809238910675, -0.03466796875, -0.16015625, -0.56396484375, 
5, 3128651073, -0.8314450979232788, 0.16577717661857605, -0.12624101340770721, 0.5150540471076965, -0.36403679847717285, -3.985485315322876, 9.005937576293945, 0.6263192296028137, -0.4408082067966461, -0.01402379386126995, -0.03662109375, -0.1611328125, -0.56298828125, 
6, 3128659406, -0.8314487934112549, 0.16572117805480957, -0.12622736394405365, 0.5150696039199829, -0.3641369342803955, -3.9954206943511963, 9.009148597717285, 0.6912000775337219, -0.27267634868621826, -0.2392241507768631, -0.03466796875, -0.1630859375, -0.56201171875, 
7, 3128667739, -0.8314520120620728, 0.16565391421318054, -0.12621769309043884, 0.5150884389877319, -0.3858742117881775, -4.004798412322998, 9.017354011535645, 0.7719618082046509, -0.081517294049263, -0.23405006527900696, -0.03369140625, -0.162109375, -0.56494140625, 
8, 3128676072, -0.8314515948295593, 0.1655898243188858, -0.126205176115036, 0.5151126980781555, -0.39420005679130554, -3.9792628288269043, 9.020100593566895, 0.7804144620895386, -0.17588013410568237, -0.3514913320541382, -0.03466796875, -0.16162109375, -0.5634765625, 
9, 3128684405, -0.8314390778541565, 0.1655322164297104, -0.12617793679237366, 0.5151580572128296, -0.36337873339653015, -3.9849560260772705, 9.020156860351562, 0.7928375005722046, -0.29401305317878723, -0.6360655426979065, -0.03564453125, -0.162109375, -0.56396484375, 
10, 3128692738, -0.8314287662506104, 0.1654781997203827, -0.12614883482456207, 0.5151993036270142, -0.3351035416126251, -3.965207099914551, 9.011974334716797, 0.7895331382751465, -0.38084524869918823, -0.6715667843818665, -0.03515625, -0.162109375, -0.5625, 
11, 3128701071, -0.831418514251709, 0.16542568802833557, -0.12611129879951477, 0.5152419805526733, -0.3230298161506653, -3.9448349475860596, 9.034175872802734, 0.8131750822067261, -0.41665393114089966, -0.7171344757080078, -0.0361328125, -0.16015625, -0.564453125, 
12, 3128709404, -0.8314058780670166, 0.16538932919502258, -0.12608928978443146, 0.5152795314788818, -0.33229947090148926, -3.932225465774536, 9.027603149414062, 0.5252711772918701, -0.4287438988685608, -0.6601173281669617, -0.03515625, -0.16357421875, -0.56494140625, 
