sep=,
PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,
0, 3185407136, 0.8047371506690979, -0.5520087480545044, 0.20619109272956848, -0.07201193273067474, 0, 0, 0, 0, 0, 0, -0.313720703125, 0.30224609375, -0.390380859375, 
1, 3185415469, 0.8047479391098022, -0.552016019821167, 0.20616520941257477, -0.07191033661365509, -2.376077890396118, -8.990167617797852, 2.939469575881958, -0.716609537601471, -1.8188669681549072, 0.8458205461502075, -0.3134765625, 0.303955078125, -0.391357421875, 
2, 3185423802, 0.8047560453414917, -0.5520267486572266, 0.20613443851470947, -0.071825310587883, -2.386547327041626, -8.94232177734375, 2.9979910850524902, -0.7567980885505676, -1.7136434316635132, 0.5533058643341064, -0.310791015625, 0.303466796875, -0.3896484375, 
3, 3185432135, 0.8047504425048828, -0.5520583391189575, 0.20609700679779053, -0.07175144553184509, -2.444457769393921, -8.943331718444824, 3.020426034927368, -1.0193185806274414, -1.7133619785308838, 0.36527183651924133, -0.3125, 0.302978515625, -0.390869140625, 
4, 3185440468, 0.8047442436218262, -0.5520914196968079, 0.20605717599391937, -0.07168179750442505, -2.4400272369384766, -8.957878112792969, 3.0538170337677, -1.0605828762054443, -1.6780396699905396, 0.2364834100008011, -0.3125, 0.304931640625, -0.38916015625, 
5, 3185448801, 0.8047247529029846, -0.5521422028541565, 0.206021249294281, -0.07161208987236023, -2.44256591796875, -8.906759262084961, 3.0178589820861816, -1.3265868425369263, -1.6445618867874146, 0.26230254769325256, -0.31298828125, 0.304443359375, -0.390625, 
6, 3185457134, 0.8046925067901611, -0.5522044897079468, 0.20599952340126038, -0.07155691087245941, -2.4139695167541504, -8.909490585327148, 2.992154121398926, -1.5594971179962158, -1.322949767112732, 0.10618381202220917, -0.3134765625, 0.303955078125, -0.390869140625, 
7, 3185465467, 0.8046442270278931, -0.5522841811180115, 0.20598964393138885, -0.07151360809803009, -2.3740313053131104, -9.012701034545898, 3.00264048576355, -1.8147684335708618, -1.103999137878418, 0.05659464746713638, -0.31103515625, 0.304931640625, -0.3916015625, 
8, 3185473800, 0.8046067953109741, -0.5523444414138794, 0.2059876173734665, -0.07147552073001862, -2.361222743988037, -9.102259635925293, 2.956820487976074, -1.5480986833572388, -0.9590738415718079, 0.06773684173822403, -0.31298828125, 0.30419921875, -0.388671875, 
9, 3185482133, 0.8045752048492432, -0.5523891448974609, 0.205994114279747, -0.07146716117858887, -2.3532209396362305, -9.119059562683105, 2.9462058544158936, -1.2196985483169556, -0.6681985259056091, -0.08862524479627609, -0.31201171875, 0.305419921875, -0.39013671875, 
10, 3185490466, 0.8045503497123718, -0.5524194240570068, 0.20600923895835876, -0.07146918773651123, -2.3389010429382324, -9.049190521240234, 2.9886293411254883, -1.0215981006622314, -0.47209596633911133, -0.1497408151626587, -0.310302734375, 0.304443359375, -0.388671875, 
11, 3185498799, 0.8045247197151184, -0.5524473190307617, 0.20602965354919434, -0.0714825987815857, -2.3658599853515625, -9.066893577575684, 3.004859209060669, -0.9406827092170715, -0.35009536147117615, -0.16982237994670868, -0.3115234375, 0.304443359375, -0.388671875, 
12, 3185507132, 0.8045088052749634, -0.5524563193321228, 0.2060571312904358, -0.07151293754577637, -2.403262138366699, -9.074339866638184, 3.0102739334106445, -0.650985836982727, -0.12276903539896011, -0.30048057436943054, -0.3125, 0.304443359375, -0.3896484375, 
13, 3185515465, 0.8045000433921814, -0.5524546504020691, 0.2060837596654892, -0.0715479850769043, -2.4133403301239014, -8.983141899108887, 3.0094449520111084, -0.43101072311401367, -0.13501262664794922, -0.2605479955673218, -0.3115234375, 0.304931640625, -0.3896484375, 
14, 3185523798, 0.8045008182525635, -0.5524377822875977, 0.20611384510993958, -0.07158353924751282, -2.390165328979492, -8.931883811950684, 3.0216684341430664, -0.22544367611408234, -0.07680428773164749, -0.2486501783132553, -0.310791015625, 0.302978515625, -0.39013671875, 
15, 3185532131, 0.8045031428337097, -0.5524160265922546, 0.20614992082118988, -0.07161904871463776, -2.439913511276245, -8.957562446594238, 2.995875358581543, -0.13293787837028503, -0.0391385555267334, -0.12625256180763245, -0.31396484375, 0.304931640625, -0.389892578125, 
16, 3185540464, 0.8045204877853394, -0.5523741841316223, 0.20618748664855957, -0.07163891196250916, -2.456193447113037, -8.973213195800781, 2.979323625564575, 0.12429308891296387, -0.13642142713069916, 0.06958106905221939, -0.3125, 0.305419921875, -0.38916015625, 
17, 3185548797, 0.8045409321784973, -0.5523257255554199, 0.20622676610946655, -0.07167056202888489, -2.454855442047119, -9.022666931152344, 2.9345035552978516, 0.28553467988967896, -0.058502912521362305, 0.03267095610499382, -0.31396484375, 0.306396484375, -0.38916015625, 
